scraped_at;producto;nombre_coto;precio_ars;presentacion
2026-08-10T18:29:50.431Z;AKUSAY;Hakusay 1 Kg;4999;1.0 kg
2026-08-10T18:29:50.431Z;APIO;Apio 1 Kg;2299;1.0 kg
2026-08-10T18:29:50.431Z;BATATA;Batata 1 Kg;1999;1.0 kg
2026-08-10T18:29:50.431Z;BERENJENA;Berenjena 1 Kg;4399;1.0 kg
2026-08-10T18:29:50.431Z;BERRO;Berro 1 Kg;7199;1.0 kg
2026-08-10T18:29:50.431Z;BROCOLI;Brocoli 1 Kg;7999;1.0 kg
2026-08-10T18:29:50.431Z;CEBOLLA;Cebolla Comercial 1 Kg;1399;1.0 kg
2026-08-10T18:29:50.431Z;CHAUCHA;Chaucha Balina 1 Kg;6999;1.0 kg
2026-08-10T18:29:50.431Z;CHOCLO;Choclo 1 Kg;2999;1.0 kg
2026-08-10T18:29:50.431Z;COLIFLOR;Coliflor Dir 1 Kg;5499;1.0 kg
2026-08-10T18:29:50.431Z;HINOJO;Hinojo 1 Kg;3999;1.0 kg
2026-08-10T18:29:50.431Z;HONGOS;Hongos Suelto Portobelo 1 Kg;26999;1.0 kg
2026-08-10T18:29:50.431Z;LECHUGA;Lechuga Capuchina 1 Kg;5999;1.0 kg
2026-08-10T18:29:50.431Z;PAPA;Papa 1 Kg;1399;1.0 kg
2026-08-10T18:29:50.431Z;PEPINO;Pepino 1 Kg;3999;1.0 kg
2026-08-10T18:29:50.431Z;PIMIENTO;Pimiento Verde 1 Kg;3999;1.0 kg
2026-08-10T18:29:50.431Z;REMOLACHA;Remolacha 1 Kg;4499;1.0 kg
2026-08-10T18:29:50.431Z;REPOLLO;Repollo Blanco 1 Kg;1999;1.0 kg
2026-08-10T18:29:50.431Z;TOMATE;Tomate Redondo 1 Kg;4299;1.0 kg
2026-08-10T18:29:50.431Z;ZANAHORIA;Zanahoria Comercial 1 Kg;1199;1.0 kg
2026-08-10T18:29:50.431Z;ZAPALLITO;Zapallito Redondo 1 Kg;2999;1.0 kg
2026-08-10T18:29:50.431Z;ZAPALLO;Zapallo Japones 1 Kg;1199;1.0 kg
